PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,ALP,U/L,52.0,40.4,-11.6,-22.30769230769231
P002,Feline,2.0,ALP,U/L,55.0,46.6,-8.399999999999999,-15.272727272727272
P003,Feline,2.0,ALP,U/L,34.0,26.6,-7.399999999999999,-21.76470588235293
P004,Feline,4.0,ALP,U/L,28.0,28.4,0.3999999999999986,1.4285714285714235
P005,Feline,5.0,ALP,U/L,52.0,36.6,-15.4,-29.61538461538461
P006,Feline,,ALP,U/L,50.0,34.1,-15.9,-31.8
P007,Feline,,ALP,U/L,81.0,66.0,-15.0,-18.51851851851852
P008,Feline,3.0,ALP,U/L,39.0,26.5,-12.5,-32.05128205128205
P009,Feline,0.5,ALP,U/L,119.0,81.0,-38.0,-31.93277310924369
P010,Feline,,ALP,U/L,110.0,85.6,-24.40000000000001,-22.181818181818187
P011,Feline,8.0,ALP,U/L,23.0,23.9,0.8999999999999986,3.913043478260864
P012,Feline,2.0,ALP,U/L,22.0,28.4,6.399999999999999,29.090909090909083
P013,Feline,,ALP,U/L,37.0,25.4,-11.6,-31.351351351351354
P014,Feline,0.9,ALP,U/L,56.0,45.3,-10.700000000000005,-19.10714285714286
P015,Feline,,ALP,U/L,117.0,121.2,4.200000000000003,3.589743589743592
P016,Feline,,ALP,U/L,210.0,223.9,13.900000000000006,6.619047619047621
P017,Feline,,ALP,U/L,301.0,311.1,10.100000000000025,3.3554817275747584
P018,Feline,0.7,ALP,U/L,113.0,100.0,-13.0,-11.50442477876106
P019,Feline,6.0,ALP,U/L,35.0,26.4,-8.600000000000001,-24.571428571428573
P020,Feline,2.0,ALP,U/L,52.0,34.6,-17.4,-33.46153846153846
P021,Feline,3.0,ALP,U/L,50.0,29.6,-20.4,-40.8
P022,Feline,3.0,ALP,U/L,31.0,26.0,-5.0,-16.129032258064516
P023,Feline,7.0,ALP,U/L,216.0,221.4,5.400000000000006,2.5000000000000027
P024,Feline,0.6,ALP,U/L,85.0,75.0,-10.0,-11.76470588235294
P025,Feline,,ALP,U/L,53.0,48.1,-4.899999999999999,-9.245283018867925
P026,Feline,2.0,ALP,U/L,25.0,25.6,0.6000000000000014,2.4000000000000057
P027,Feline,6.0,ALP,U/L,37.0,38.5,1.5,4.054054054054054
P028,Feline,7.0,ALP,U/L,31.0,34.6,3.6000000000000014,11.612903225806456
P029,Feline,7.0,ALP,U/L,42.0,41.9,-0.1000000000000014,-0.2380952380952415
P030,Feline,7.0,ALP,U/L,26.0,21.2,-4.800000000000001,-18.461538461538467
P031,Feline,7.0,ALP,U/L,40.0,41.7,1.7000000000000028,4.250000000000007
P032,Feline,6.0,ALP,U/L,46.0,45.6,-0.3999999999999986,-0.8695652173913012
P033,Feline,,ALP,U/L,29.0,31.8,2.8000000000000007,9.655172413793109
P034,Feline,,ALP,U/L,49.0,50.9,1.8999999999999984,3.877551020408161
P035,Feline,2.0,ALP,U/L,43.0,42.7,-0.2999999999999971,-0.6976744186046445
P036,Feline,,ALP,U/L,30.0,24.8,-5.199999999999999,-17.333333333333332
P037,Feline,,ALP,U/L,39.0,36.8,-2.200000000000003,-5.641025641025648
P038,Feline,,ALP,U/L,27.0,26.2,-0.8000000000000007,-2.962962962962965
P039,Feline,,ALP,U/L,27.0,26.4,-0.6000000000000014,-2.222222222222228
P040,Feline,7.0,ALP,U/L,35.0,30.3,-4.699999999999999,-13.428571428571423
P041,Feline,3.0,ALP,U/L,19.0,17.4,-1.6000000000000014,-8.421052631578956
P042,Feline,2.0,ALP,U/L,28.0,22.0,-6.0,-21.428571428571427
P043,Feline,,ALP,U/L,41.0,39.6,-1.3999999999999986,-3.41463414634146
P044,Feline,5.0,ALP,U/L,58.0,53.0,-5.0,-8.620689655172415
P045,Feline,2.0,ALP,U/L,45.0,45.4,0.3999999999999986,0.8888888888888857
P046,Feline,,ALP,U/L,31.0,34.2,3.200000000000003,10.3225806451613
P047,Feline,2.0,ALP,U/L,55.0,56.9,1.8999999999999984,3.454545454545452
