PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,AMY,U/L,959.0,937.2,-21.799999999999955,-2.2732012513034365
P002,Feline,2.0,AMY,U/L,1018.0,1116.6,98.59999999999992,9.685658153241642
P003,Feline,2.0,AMY,U/L,848.0,723.2,-124.79999999999995,-14.716981132075466
P004,Feline,4.0,AMY,U/L,908.0,943.8,35.799999999999955,3.942731277533035
P005,Feline,5.0,AMY,U/L,991.0,992.2,1.2000000000000457,0.1210898082744748
P006,Feline,,AMY,U/L,891.0,931.8,40.79999999999996,4.579124579124573
P007,Feline,,AMY,U/L,777.0,782.9,5.899999999999977,0.7593307593307564
P008,Feline,3.0,AMY,U/L,1102.0,1177.6,75.59999999999991,6.860254083484565
P009,Feline,0.5,AMY,U/L,539.0,613.2,74.20000000000005,13.766233766233771
P010,Feline,,AMY,U/L,569.0,559.9,-9.100000000000025,-1.5992970123022885
P011,Feline,8.0,AMY,U/L,752.0,751.8,-0.2000000000000454,-0.0265957446808571
P012,Feline,2.0,AMY,U/L,846.0,876.6,30.600000000000023,3.617021276595747
P013,Feline,,AMY,U/L,809.0,869.5,60.5,7.478368355995056
P014,Feline,0.9,AMY,U/L,706.0,680.2,-25.799999999999955,-3.6543909348441854
P015,Feline,,AMY,U/L,1583.0,1383.8,-199.20000000000005,-12.583701831964628
P016,Feline,,AMY,U/L,713.0,663.2,-49.79999999999996,-6.9845722300140185
P017,Feline,,AMY,U/L,608.0,616.5,8.5,1.3980263157894737
P018,Feline,0.7,AMY,U/L,672.0,616.8,-55.200000000000045,-8.21428571428572
P019,Feline,6.0,AMY,U/L,748.0,833.0,85.0,11.363636363636363
P020,Feline,2.0,AMY,U/L,1000.0,1010.6,10.600000000000025,1.0600000000000025
P021,Feline,3.0,AMY,U/L,791.0,861.3,70.29999999999995,8.887484197218704
P022,Feline,3.0,AMY,U/L,641.0,592.4,-48.60000000000002,-7.581903276131048
P023,Feline,7.0,AMY,U/L,687.0,607.6,-79.39999999999998,-11.557496360989807
P024,Feline,0.6,AMY,U/L,1373.0,1261.0,-112.0,-8.157319737800437
P025,Feline,,AMY,U/L,902.0,900.8,-1.2000000000000457,-0.1330376940133088
P026,Feline,2.0,AMY,U/L,1294.0,1500.4,206.4000000000001,15.950540958268942
P027,Feline,6.0,AMY,U/L,729.0,692.3,-36.700000000000045,-5.034293552812078
P028,Feline,7.0,AMY,U/L,774.0,668.0,-106.0,-13.695090439276486
P029,Feline,7.0,AMY,U/L,940.0,1010.2,70.20000000000005,7.468085106382984
P030,Feline,7.0,AMY,U/L,938.0,848.8,-89.20000000000005,-9.509594882729216
P031,Feline,7.0,AMY,U/L,664.0,599.8,-64.20000000000005,-9.668674698795188
P032,Feline,6.0,AMY,U/L,614.0,650.3,36.29999999999996,5.912052117263836
P033,Feline,,AMY,U/L,1031.0,1047.3,16.299999999999955,1.5809893307468434
P034,Feline,,AMY,U/L,787.0,878.0,91.0,11.56289707750953
P035,Feline,2.0,AMY,U/L,660.0,583.1,-76.89999999999998,-11.651515151515149
P036,Feline,,AMY,U/L,819.0,864.9,45.89999999999998,5.604395604395602
P037,Feline,,AMY,U/L,651.0,610.0,-41.0,-6.29800307219662
P038,Feline,,AMY,U/L,784.0,697.6,-86.39999999999998,-11.020408163265303
P039,Feline,,AMY,U/L,1525.0,1346.4,-178.5999999999999,-11.71147540983606
P040,Feline,7.0,AMY,U/L,920.0,780.6,-139.39999999999998,-15.152173913043477
P041,Feline,3.0,AMY,U/L,818.0,859.7,41.700000000000045,5.097799511002451
P042,Feline,2.0,AMY,U/L,756.0,752.4,-3.6000000000000227,-0.4761904761904791
P043,Feline,,AMY,U/L,500.0,576.2,76.20000000000005,15.240000000000007
P044,Feline,5.0,AMY,U/L,771.0,768.0,-3.0,-0.3891050583657587
P045,Feline,2.0,AMY,U/L,1364.0,1195.7,-168.29999999999995,-12.338709677419352
P046,Feline,,AMY,U/L,1017.0,984.3,-32.700000000000045,-3.215339233038353
P047,Feline,2.0,AMY,U/L,1071.0,973.6,-97.39999999999998,-9.094304388422032
P048,Feline,,AMY,U/L,1689.0,1508.2,-180.79999999999995,-10.704558910597983
P049,Feline,2.0,AMY,U/L,1261.0,1187.1,-73.90000000000009,-5.860428231562259
P050,Feline,2.0,AMY,U/L,1330.0,1530.3,200.29999999999995,15.060150375939848
P051,Feline,,AMY,U/L,878.0,778.3,-99.70000000000005,-11.355353075170848
P052,Feline,,AMY,U/L,684.0,706.7,22.700000000000045,3.318713450292404
P053,Feline,,AMY,U/L,1513.0,1606.6,93.59999999999992,6.186384666226035
P054,Feline,,AMY,U/L,1623.0,1553.2,-69.79999999999995,-4.300677757239677
P061,Canine,9.0,AMY,U/L,522.0,535.59,13.590000000000032,2.603448275862075
P062,Canine,2.0,AMY,U/L,542.0,530.84,-11.159999999999968,-2.0590405904058984
P063,Canine,10.0,AMY,U/L,808.0,867.88,59.88,7.410891089108911
P064,Canine,6.0,AMY,U/L,610.0,644.49,34.49000000000001,5.654098360655739
P065,Canine,0.8,AMY,U/L,980.0,1047.18,67.18000000000006,6.855102040816333
P066,Canine,12.0,AMY,U/L,736.0,749.12,13.120000000000005,1.7826086956521745
P067,Canine,2.0,AMY,U/L,413.0,380.56,-32.44,-7.854721549636803
P068,Canine,2.0,AMY,U/L,558.0,545.82,-12.17999999999995,-2.182795698924722
P069,Canine,9.0,AMY,U/L,591.0,590.36,-0.6399999999999864,-0.1082910321488978
P070,Canine,3.0,AMY,U/L,686.0,632.59,-53.40999999999997,-7.78571428571428
P071,Canine,12.0,AMY,U/L,520.0,524.61,4.610000000000014,0.8865384615384642
P072,Canine,6.0,AMY,U/L,781.0,905.42,124.41999999999996,15.93085787451984
P073,Canine,10.0,AMY,U/L,741.0,843.14,102.14,13.784075573549256
P074,Canine,11.0,AMY,U/L,496.0,558.37,62.370000000000005,12.57459677419355
P075,Canine,0.7,AMY,U/L,662.0,770.04,108.03999999999996,16.320241691842895
P076,Canine,,AMY,U/L,1071.0,1082.99,11.990000000000007,1.1195144724556496
P077,Canine,,AMY,U/L,618.0,562.65,-55.35000000000002,-8.956310679611654
P078,Canine,5.0,AMY,U/L,406.0,403.34,-2.660000000000025,-0.6551724137931096
P079,Canine,2.0,AMY,U/L,782.0,766.13,-15.870000000000005,-2.029411764705883
P080,Canine,11.0,AMY,U/L,556.0,590.18,34.17999999999995,6.14748201438848
P081,Canine,6.0,AMY,U/L,1237.0,1346.73,109.73000000000002,8.870654810024254
P082,Canine,16.0,AMY,U/L,637.0,699.17,62.16999999999996,9.759811616954469
P083,Canine,2.0,AMY,U/L,730.0,643.1,-86.89999999999998,-11.904109589041092
P084,Canine,2.0,AMY,U/L,757.0,668.1,-88.89999999999998,-11.74372523117569
P085,Canine,12.0,AMY,U/L,1788.0,1965.6,177.5999999999999,9.932885906040264
P086,Canine,6.0,AMY,U/L,878.0,886.8,8.799999999999955,1.002277904328013
P087,Canine,7.0,AMY,U/L,737.0,720.6,-16.399999999999977,-2.225237449118043
P088,Canine,10.0,AMY,U/L,728.0,885.0,157.0,21.565934065934066
P089,Canine,6.0,AMY,U/L,908.0,910.0,2.0,0.2202643171806167
P090,Canine,8.0,AMY,U/L,523.0,537.0,14.0,2.676864244741874
P091,Canine,2.0,AMY,U/L,1060.0,1081.8,21.799999999999955,2.056603773584901
P092,Canine,15.0,AMY,U/L,1777.0,2063.5,286.5,16.122678671918962
P093,Canine,4.0,AMY,U/L,814.0,805.3,-8.700000000000045,-1.0687960687960745
P094,Canine,15.0,AMY,U/L,1529.0,1714.5,185.5,12.132112491824724
P095,Canine,,AMY,U/L,501.0,508.5,7.5,1.497005988023952
P096,Canine,,AMY,U/L,767.0,714.8,-52.200000000000045,-6.8057366362451175
P097,Canine,,AMY,U/L,993.0,1113.9,120.90000000000008,12.175226586102728
P098,Canine,12.0,AMY,U/L,774.0,841.0,67.0,8.656330749354005
P099,Canine,,AMY,U/L,574.0,555.5,-18.5,-3.2229965156794425
P100,Canine,9.0,AMY,U/L,450.0,487.7,37.69999999999999,8.377777777777776
P101,Canine,5.0,AMY,U/L,1212.0,1151.7,-60.29999999999996,-4.975247524752471
P102,Canine,15.0,AMY,U/L,1306.0,1282.2,-23.799999999999955,-1.8223583460949428
P103,Canine,,AMY,U/L,418.0,485.0,67.0,16.028708133971293
P114,Feline,13.0,AMY,U/L,1149.0,636.2,-512.8,-44.63011314186249
P115,Canine,9.0,AMY,U/L,290.0,319.4,29.399999999999977,10.137931034482753
P116,Canine,7.0,AMY,U/L,770.0,812.4,42.39999999999998,5.506493506493504
P117,Canine,4.0,AMY,U/L,626.0,645.4,19.399999999999977,3.0990415335463224
P118,Canine,2.0,AMY,U/L,711.0,717.8,6.7999999999999545,0.9563994374120892
P115,Canine,9.0,AMY,U/L,540.0,603.2,63.200000000000045,11.703703703703711
P119,Canine,16.0,AMY,U/L,800.0,888.6,88.60000000000002,11.075000000000005
P120,Canine,12.0,AMY,U/L,810.0,900.1,90.10000000000002,11.12345679012346
P121,Canine,1.0,AMY,U/L,526.0,571.2,45.200000000000045,8.593155893536132
P122,Canine,11.0,AMY,U/L,1010.0,1234.1,224.0999999999999,22.18811881188118
P123,Canine,13.0,AMY,U/L,478.0,519.5,41.5,8.682008368200837
P124,Feline,4.0,AMY,U/L,884.0,652.6,-231.4,-26.17647058823529
P115,Canine,9.0,AMY,U/L,462.0,462.8,0.8000000000000114,0.1731601731601756
P123,Canine,13.0,AMY,U/L,1027.0,1334.3,307.29999999999995,29.92210321324245
P125,Canine,6.0,AMY,U/L,779.0,776.9,-2.1000000000000227,-0.269576379974329
P126,Canine,8.0,AMY,U/L,505.0,519.2,14.200000000000044,2.811881188118821
P123,Canine,13.0,AMY,U/L,897.0,946.1,49.10000000000002,5.473801560758085
P119,Canine,16.0,AMY,U/L,927.0,1169.1,242.0999999999999,26.116504854368923
P127,Feline,15.0,AMY,U/L,1049.0,657.3,-391.7000000000001,-37.34032411820783
P128,Canine,15.0,AMY,U/L,915.0,1026.2,111.20000000000005,12.15300546448088
