PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,CHOL,mmol/L,2.5641,2.66,0.0959000000000003,3.740103740103753
P002,Feline,2.0,CHOL,mmol/L,3.7037,3.74,0.0363000000000002,0.980100980100986
P003,Feline,2.0,CHOL,mmol/L,3.108,3.39,0.282,9.073359073359075
P004,Feline,4.0,CHOL,mmol/L,8.2103,9.25,1.0396999999999998,12.66336187471834
P005,Feline,5.0,CHOL,mmol/L,4.3771,4.77,0.3928999999999991,8.976262822416647
P006,Feline,,CHOL,mmol/L,3.8073,4.01,0.2026999999999996,5.323982875003274
P007,Feline,,CHOL,mmol/L,4.0404,4.12,0.0796000000000001,1.9701019701019729
P008,Feline,3.0,CHOL,mmol/L,6.3714,7.07,0.6985999999999999,10.96462315974511
P009,Feline,0.5,CHOL,mmol/L,4.1958,4.48,0.2842000000000002,6.773440106773446
P010,Feline,,CHOL,mmol/L,2.4864,2.68,0.1936,7.786357786357785
P011,Feline,8.0,CHOL,mmol/L,4.0922,4.62,0.5278,12.897707834416696
P012,Feline,2.0,CHOL,mmol/L,3.9627,4.24,0.2773000000000003,6.997754056577595
P013,Feline,,CHOL,mmol/L,5.3095,5.67,0.3605,6.789716545814108
P014,Feline,0.9,CHOL,mmol/L,4.1181,4.62,0.5019,12.18765935747068
P015,Feline,,CHOL,mmol/L,2.1238,2.41,0.2862,13.475845183162257
P016,Feline,,CHOL,mmol/L,3.8332,4.01,0.1767999999999996,4.612334342064061
P017,Feline,,CHOL,mmol/L,3.9627,4.19,0.2273000000000005,5.735988088929278
P018,Feline,0.7,CHOL,mmol/L,3.8332,3.83,-0.0032,-0.083481164562248
P019,Feline,6.0,CHOL,mmol/L,3.3929,3.78,0.3870999999999998,11.409119042706822
P020,Feline,2.0,CHOL,mmol/L,3.0562,3.21,0.1537999999999999,5.0323931679863865
P021,Feline,3.0,CHOL,mmol/L,4.8951,5.03,0.1349,2.755817041531328
P022,Feline,3.0,CHOL,mmol/L,4.8433,5.82,0.9767,20.1660025189437
P023,Feline,7.0,CHOL,mmol/L,4.4548,5.1,0.6452,14.48325401813774
P024,Feline,0.6,CHOL,mmol/L,3.9109,4.26,0.3490999999999999,8.926334091897004
P025,Feline,,CHOL,mmol/L,4.2735,4.49,0.2164999999999999,5.066105066105064
P026,Feline,2.0,CHOL,mmol/L,3.2375,3.13,-0.1074999999999999,-3.3204633204633183
P027,Feline,6.0,CHOL,mmol/L,4.403,4.63,0.2270000000000003,5.155575743811045
P028,Feline,7.0,CHOL,mmol/L,3.2634,3.33,0.0666000000000002,2.040816326530619
P029,Feline,7.0,CHOL,mmol/L,4.0404,4.55,0.5095999999999998,12.612612612612608
P030,Feline,7.0,CHOL,mmol/L,3.0303,3.3,0.2696999999999998,8.900108900108894
P031,Feline,7.0,CHOL,mmol/L,5.698,6.02,0.3219999999999992,5.651105651105636
P032,Feline,6.0,CHOL,mmol/L,5.4131,6.08,0.6669,12.32011232011232
P033,Feline,,CHOL,mmol/L,3.2116,3.58,0.3684000000000003,11.470917922530836
P034,Feline,,CHOL,mmol/L,3.0303,3.33,0.2997000000000001,9.890109890109892
P035,Feline,2.0,CHOL,mmol/L,4.1181,3.99,-0.1280999999999998,-3.1106578276389567
P036,Feline,,CHOL,mmol/L,3.3929,3.57,0.1770999999999998,5.219723540334222
P037,Feline,,CHOL,mmol/L,4.4289,5.06,0.6311,14.24958793379846
P038,Feline,,CHOL,mmol/L,2.9785,2.92,-0.0584999999999999,-1.964075877119356
P039,Feline,,CHOL,mmol/L,3.4965,3.14,-0.3565,-10.195910195910196
P040,Feline,7.0,CHOL,mmol/L,2.9785,3.42,0.4415,14.822897431593084
P041,Feline,3.0,CHOL,mmol/L,3.7814,3.83,0.0485999999999999,1.2852382715396409
P042,Feline,2.0,CHOL,mmol/L,3.2116,2.34,-0.8715999999999999,-27.139120687507784
P043,Feline,,CHOL,mmol/L,2.7972,3.0,0.2027999999999998,7.250107250107245
P044,Feline,5.0,CHOL,mmol/L,2.072,2.08,0.008,0.3861003861003864
P045,Feline,2.0,CHOL,mmol/L,3.0562,3.18,0.1238000000000001,4.050782016883716
P046,Feline,,CHOL,mmol/L,3.7296,3.53,-0.1996000000000002,-5.3517803517803575
P047,Feline,2.0,CHOL,mmol/L,2.331,2.27,-0.0609999999999999,-2.6169026169026144
P048,Feline,,CHOL,mmol/L,4.0145,4.63,0.6154999999999999,15.331921783534684
P049,Feline,2.0,CHOL,mmol/L,2.8749,3.26,0.3851,13.395248530383666
P050,Feline,2.0,CHOL,mmol/L,2.8749,2.94,0.0651000000000001,2.264426588750919
P051,Feline,,CHOL,mmol/L,2.6936,2.77,0.0764,2.8363528363528374
P052,Feline,,CHOL,mmol/L,4.0145,3.95,-0.0644999999999997,-1.606675800224182
P053,Feline,,CHOL,mmol/L,3.2375,3.26,0.0224999999999999,0.6949806949806939
P054,Feline,,CHOL,mmol/L,3.4188,3.3,-0.1188000000000002,-3.4749034749034817
P055,Feline,,CHOL,mmol/L,2.5382,2.93,0.3918000000000003,15.436135844299129
P056,Feline,,CHOL,mmol/L,3.7814,4.51,0.7285999999999997,19.26799598032474
P057,Feline,,CHOL,mmol/L,4.1699,4.8,0.6300999999999997,15.110674116885288
P058,Feline,,CHOL,mmol/L,2.1756,2.4,0.2243999999999997,10.31439602868173
P059,Feline,,CHOL,mmol/L,3.9886,4.89,0.9013999999999998,22.59940831369402
P060,Feline,,CHOL,mmol/L,4.7656,6.4,1.6344000000000003,34.29578646969952
P061,Canine,9.0,CHOL,mmol/L,6.9153,6.78,-0.1352999999999999,-1.956531170014316
P062,Canine,2.0,CHOL,mmol/L,3.2116,3.08,-0.1315999999999997,-4.097646033129895
P063,Canine,10.0,CHOL,mmol/L,3.8332,3.71,-0.1232000000000002,-3.2140248356464625
P064,Canine,6.0,CHOL,mmol/L,6.0347,6.0,-0.0346999999999999,-0.5750078711452093
P065,Canine,0.8,CHOL,mmol/L,7.2002,7.12,-0.0801999999999996,-1.113857948390317
P066,Canine,12.0,CHOL,mmol/L,6.0865,6.91,0.8235000000000001,13.529943317177365
P067,Canine,2.0,CHOL,mmol/L,3.4965,3.11,-0.3865000000000003,-11.053911053911062
P068,Canine,2.0,CHOL,mmol/L,3.2634,3.62,0.3566000000000002,10.92725378439665
P069,Canine,9.0,CHOL,mmol/L,4.3512,4.18,-0.1712000000000006,-3.9345467916896646
P070,Canine,3.0,CHOL,mmol/L,4.2994,3.86,-0.4394000000000004,-10.220030701958423
P071,Canine,12.0,CHOL,mmol/L,5.6721,5.74,0.0678999999999998,1.1970874984573587
P072,Canine,6.0,CHOL,mmol/L,8.806,9.39,0.5840000000000014,6.631841925959589
P073,Canine,10.0,CHOL,mmol/L,4.0922,4.09,-0.0022000000000002,-0.053760813254489
P074,Canine,11.0,CHOL,mmol/L,5.3872,5.56,0.1727999999999996,3.2076032076032006
P075,Canine,0.7,CHOL,mmol/L,5.8534,6.19,0.3366000000000007,5.750503980592488
P076,Canine,,CHOL,mmol/L,3.9627,4.19,0.2273000000000005,5.735988088929278
P077,Canine,,CHOL,mmol/L,5.5426,5.67,0.1273999999999997,2.298560242485471
P078,Canine,5.0,CHOL,mmol/L,8.1585,7.3,-0.8585000000000003,-10.522767665624812
P079,Canine,2.0,CHOL,mmol/L,4.8174,5.1,0.2825999999999995,5.866234898492953
P080,Canine,11.0,CHOL,mmol/L,5.4649,5.9,0.4351000000000002,7.961719336126924
P081,Canine,6.0,CHOL,mmol/L,5.6462,6.2,0.5537999999999998,9.80836668910063
P082,Canine,16.0,CHOL,mmol/L,4.4289,4.62,0.1911000000000005,4.314841156946431
P083,Canine,2.0,CHOL,mmol/L,4.2217,4.42,0.1982999999999997,4.697159911883831
P084,Canine,2.0,CHOL,mmol/L,4.9728,5.14,0.1671999999999993,3.3622908622908487
