PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P026,Feline,2.0,CREA,µmol/L,79.56,81.1,1.539999999999992,1.935646053293102
P027,Feline,6.0,CREA,µmol/L,114.92,116.4,1.480000000000004,1.287852419074142
P028,Feline,7.0,CREA,µmol/L,123.76,126.3,2.539999999999992,2.052359405300576
P029,Feline,7.0,CREA,µmol/L,123.76,130.0,6.239999999999995,5.042016806722685
P030,Feline,7.0,CREA,µmol/L,480.0,477.8,-2.1999999999999886,-0.458333333333331
P031,Feline,7.0,CREA,µmol/L,123.76,140.2,16.439999999999984,13.283775048480916
P032,Feline,6.0,CREA,µmol/L,141.44,135.6,-5.840000000000003,-4.128959276018103
P033,Feline,,CREA,µmol/L,61.88,71.0,9.119999999999996,14.738202973497089
P034,Feline,,CREA,µmol/L,167.96,183.2,15.23999999999998,9.07358894974993
P035,Feline,2.0,CREA,µmol/L,114.92,106.4,-8.519999999999996,-7.413853115210578
P036,Feline,,CREA,µmol/L,132.6,134.4,1.8000000000000114,1.357466063348425
P037,Feline,,CREA,µmol/L,114.92,136.8,21.88000000000001,19.039331709014977
P038,Feline,,CREA,µmol/L,79.56,90.1,10.539999999999992,13.247863247863236
P039,Feline,,CREA,µmol/L,97.24,98.3,1.0600000000000025,1.0900863842040338
P040,Feline,7.0,CREA,µmol/L,88.4,79.5,-8.900000000000006,-10.067873303167426
P041,Feline,3.0,CREA,µmol/L,123.76,122.5,-1.2600000000000051,-1.018099547511316
P042,Feline,2.0,CREA,µmol/L,141.44,81.2,-60.24,-42.59049773755656
P043,Feline,,CREA,µmol/L,53.04,52.8,-0.240000000000002,-0.4524886877828092
P044,Feline,5.0,CREA,µmol/L,97.24,92.67,-4.569999999999993,-4.699712052653222
P045,Feline,2.0,CREA,µmol/L,141.44,127.5,-13.939999999999998,-9.85576923076923
P046,Feline,,CREA,µmol/L,97.24,82.9,-14.33999999999999,-14.747017688194148
P047,Feline,2.0,CREA,µmol/L,70.72,64.3,-6.420000000000002,-9.078054298642536
P048,Feline,,CREA,µmol/L,106.08,100.8,-5.280000000000001,-4.977375565610861
P049,Feline,2.0,CREA,µmol/L,61.88,64.2,2.3200000000000003,3.749191984486103
P050,Feline,2.0,CREA,µmol/L,61.88,62.2,0.3200000000000003,0.5171299288946352
P051,Feline,,CREA,µmol/L,53.04,54.0,0.9600000000000009,1.8099547511312235
P052,Feline,,CREA,µmol/L,114.92,121.6,6.679999999999993,5.812739296902186
P053,Feline,,CREA,µmol/L,97.24,80.0,-17.239999999999995,-17.729329494035373
P054,Feline,,CREA,µmol/L,106.08,105.9,-0.1799999999999926,-0.169683257918545
P055,Feline,,CREA,µmol/L,123.76,120.5,-3.260000000000005,-2.63413057530705
P056,Feline,,CREA,µmol/L,61.88,72.6,10.719999999999992,17.32385261797025
P057,Feline,,CREA,µmol/L,132.6,118.5,-14.099999999999994,-10.633484162895924
P058,Feline,,CREA,µmol/L,194.48,220.9,26.420000000000016,13.584944467297415
P059,Feline,,CREA,µmol/L,238.68,253.5,14.819999999999991,6.209150326797382
P060,Feline,,CREA,µmol/L,548.08,508.2,-39.88000000000005,-7.276310027733186
P083,Canine,2.0,CREA,µmol/L,79.56,118.2,38.64,48.56711915535445
P084,Canine,2.0,CREA,µmol/L,141.44,136.8,-4.639999999999986,-3.28054298642533
P085,Canine,12.0,CREA,µmol/L,238.68,224.7,-13.980000000000018,-5.8572146807441
P086,Canine,6.0,CREA,µmol/L,114.92,86.8,-28.120000000000005,-24.46919596240864
P087,Canine,7.0,CREA,µmol/L,79.56,54.8,-24.760000000000005,-31.12116641528407
P088,Canine,10.0,CREA,µmol/L,53.04,66.5,13.46,25.37707390648568
P089,Canine,6.0,CREA,µmol/L,97.24,78.1,-19.14,-19.68325791855204
P090,Canine,8.0,CREA,µmol/L,70.72,65.2,-5.519999999999996,-7.805429864253388
P091,Canine,2.0,CREA,µmol/L,88.4,62.9,-25.500000000000007,-28.84615384615385
P092,Canine,15.0,CREA,µmol/L,309.4,289.1,-20.299999999999955,-6.561085972850665
P093,Canine,4.0,CREA,µmol/L,97.24,89.6,-7.640000000000001,-7.856849033319622
P094,Canine,15.0,CREA,µmol/L,265.2,278.5,13.300000000000011,5.015082956259431
P095,Canine,,CREA,µmol/L,88.4,92.0,3.5999999999999943,4.072398190045242
P096,Canine,,CREA,µmol/L,150.28,110.1,-40.18000000000001,-26.73675805163695
P097,Canine,,CREA,µmol/L,256.36,276.6,20.24000000000001,7.895147448899988
P098,Canine,12.0,CREA,µmol/L,79.56,84.1,4.539999999999992,5.706385118149814
P099,Canine,,CREA,µmol/L,88.4,81.5,-6.900000000000006,-7.8054298642534
P100,Canine,9.0,CREA,µmol/L,141.44,100.5,-40.94,-28.945135746606333
P101,Canine,5.0,CREA,µmol/L,70.72,54.0,-16.72,-23.64253393665158
P102,Canine,15.0,CREA,µmol/L,247.52,243.9,-3.620000000000005,-1.4625080801551409
P103,Canine,,CREA,µmol/L,159.12,118.5,-40.620000000000005,-25.527903469079945
P104,Canine,,CREA,µmol/L,79.56,94.4,14.840000000000003,18.65258924082454
P105,Canine,,CREA,µmol/L,123.76,128.4,4.640000000000001,3.749191984486103
