PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,Ca,mmol/L,2.575,2.53,-0.0450000000000003,-1.747572815533995
P002,Feline,2.0,Ca,mmol/L,2.45,2.21,-0.2400000000000002,-9.795918367346946
P003,Feline,2.0,Ca,mmol/L,2.55,2.5,-0.0499999999999998,-1.9607843137254832
P004,Feline,4.0,Ca,mmol/L,2.6,2.62,0.02,0.7692307692307698
P005,Feline,5.0,Ca,mmol/L,2.675,3.01,0.3349999999999999,12.52336448598131
P006,Feline,,Ca,mmol/L,2.475,2.33,-0.145,-5.858585858585859
P007,Feline,,Ca,mmol/L,2.625,2.4,-0.2250000000000001,-8.571428571428575
P008,Feline,3.0,Ca,mmol/L,2.55,2.31,-0.2399999999999997,-9.411764705882344
P009,Feline,0.5,Ca,mmol/L,2.55,2.62,0.0700000000000002,2.745098039215698
P010,Feline,,Ca,mmol/L,2.7,2.36,-0.3400000000000003,-12.592592592592602
P011,Feline,8.0,Ca,mmol/L,2.875,2.81,-0.0649999999999999,-2.2608695652173894
P012,Feline,2.0,Ca,mmol/L,2.625,2.6,-0.0249999999999999,-0.952380952380949
P013,Feline,,Ca,mmol/L,2.7,2.68,-0.02,-0.7407407407407414
P014,Feline,0.9,Ca,mmol/L,2.7,2.63,-0.0700000000000002,-2.5925925925926028
P015,Feline,,Ca,mmol/L,2.375,2.31,-0.0649999999999999,-2.736842105263156
P016,Feline,,Ca,mmol/L,2.3,2.09,-0.2099999999999999,-9.130434782608694
P017,Feline,,Ca,mmol/L,2.6,2.37,-0.2299999999999999,-8.846153846153845
P018,Feline,0.7,Ca,mmol/L,2.7,2.52,-0.1800000000000001,-6.666666666666672
P019,Feline,6.0,Ca,mmol/L,2.475,2.3,-0.1750000000000002,-7.070707070707082
P020,Feline,2.0,Ca,mmol/L,2.525,2.7,0.1750000000000002,6.930693069306941
P021,Feline,3.0,Ca,mmol/L,2.675,2.86,0.185,6.915887850467292
P022,Feline,3.0,Ca,mmol/L,2.45,2.5,0.0499999999999998,2.0408163265306047
P023,Feline,7.0,Ca,mmol/L,2.3,2.17,-0.1299999999999999,-5.652173913043474
P024,Feline,0.6,Ca,mmol/L,2.55,2.78,0.2299999999999999,9.019607843137257
P025,Feline,,Ca,mmol/L,2.625,2.78,0.1549999999999998,5.904761904761897
P026,Feline,2.0,Ca,mmol/L,2.4,2.49,0.0900000000000003,3.750000000000013
P027,Feline,6.0,Ca,mmol/L,2.55,2.65,0.1,3.921568627450984
P028,Feline,7.0,Ca,mmol/L,2.275,2.39,0.1150000000000002,5.0549450549450645
P029,Feline,7.0,Ca,mmol/L,2.35,2.44,0.0899999999999998,3.8297872340425454
P030,Feline,7.0,Ca,mmol/L,2.0,2.19,0.1899999999999999,9.499999999999996
P031,Feline,7.0,Ca,mmol/L,2.35,2.38,0.0299999999999998,1.2765957446808427
P032,Feline,6.0,Ca,mmol/L,2.475,2.56,0.0849999999999999,3.434343434343433
P033,Feline,,Ca,mmol/L,2.075,2.28,0.2049999999999996,9.879518072289136
P034,Feline,,Ca,mmol/L,2.425,2.59,0.165,6.804123711340209
P035,Feline,2.0,Ca,mmol/L,2.45,2.31,-0.1400000000000001,-5.714285714285719
P036,Feline,,Ca,mmol/L,2.475,2.6,0.125,5.05050505050505
P037,Feline,,Ca,mmol/L,2.375,2.53,0.1549999999999998,6.526315789473676
P038,Feline,,Ca,mmol/L,2.475,2.63,0.1549999999999998,6.262626262626254
P039,Feline,,Ca,mmol/L,2.4,2.58,0.1800000000000001,7.500000000000007
