PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,GLU,mmol/L,4.2735,4.76,0.4864999999999995,11.384111384111373
P002,Feline,2.0,GLU,mmol/L,6.6045,6.35,-0.2545000000000001,-3.8534332651979737
P003,Feline,2.0,GLU,mmol/L,5.439,5.7,0.2610000000000001,4.7986762272476575
P004,Feline,4.0,GLU,mmol/L,7.104,6.82,-0.2839999999999998,-3.997747747747745
P005,Feline,5.0,GLU,mmol/L,6.105,5.61,-0.4950000000000001,-8.10810810810811
P006,Feline,,GLU,mmol/L,5.1615,5.31,0.1484999999999994,2.8770706190060915
P007,Feline,,GLU,mmol/L,5.55,5.36,-0.1899999999999995,-3.4234234234234147
P008,Feline,3.0,GLU,mmol/L,6.66,6.48,-0.1799999999999997,-2.702702702702698
P009,Feline,0.5,GLU,mmol/L,5.55,5.17,-0.3799999999999999,-6.846846846846845
P010,Feline,,GLU,mmol/L,5.6055,4.99,-0.6154999999999999,-10.98028721791098
P011,Feline,8.0,GLU,mmol/L,5.661,5.81,0.149,2.632043808514397
P012,Feline,2.0,GLU,mmol/L,5.4945,5.21,-0.2845000000000004,-5.177905177905185
P013,Feline,,GLU,mmol/L,0.7215,0.63,-0.0915,-12.681912681912683
P014,Feline,0.9,GLU,mmol/L,5.0505,5.04,-0.0105000000000003,-0.2079002079002157
P015,Feline,,GLU,mmol/L,10.101,9.95,-0.1510000000000015,-1.4949014949015105
P016,Feline,,GLU,mmol/L,5.2725,5.05,-0.2225000000000001,-4.220009483167381
P017,Feline,,GLU,mmol/L,4.7175,4.35,-0.3675000000000006,-7.790143084260744
P018,Feline,0.7,GLU,mmol/L,5.661,5.19,-0.4709999999999992,-8.320084790673013
P019,Feline,6.0,GLU,mmol/L,4.662,4.52,-0.1420000000000003,-3.0459030459030534
P020,Feline,2.0,GLU,mmol/L,4.773,5.06,0.2869999999999999,6.012989733919965
P021,Feline,3.0,GLU,mmol/L,5.55,5.18,-0.3700000000000001,-6.66666666666667
P022,Feline,3.0,GLU,mmol/L,7.4925,7.42,-0.0724999999999997,-0.9676343009676316
P023,Feline,7.0,GLU,mmol/L,15.096,14.94,-0.1560000000000005,-1.0333863275039783
P024,Feline,0.6,GLU,mmol/L,6.6045,6.71,0.1055000000000001,1.597395715042776
P025,Feline,,GLU,mmol/L,6.105,6.36,0.2549999999999999,4.176904176904174
P026,Feline,2.0,GLU,mmol/L,6.8265,7.1,0.2734999999999994,4.006445469860095
P027,Feline,6.0,GLU,mmol/L,6.327,6.48,0.1530000000000004,2.418207681365584
P028,Feline,7.0,GLU,mmol/L,3.774,4.32,0.5460000000000003,14.467408585055647
P029,Feline,7.0,GLU,mmol/L,3.0525,3.34,0.2874999999999996,9.418509418509409
P030,Feline,7.0,GLU,mmol/L,13.3755,14.04,0.6644999999999985,4.968038577997072
P031,Feline,7.0,GLU,mmol/L,7.4925,7.77,0.2774999999999998,3.703703703703702
P032,Feline,6.0,GLU,mmol/L,6.7155,6.9,0.1845000000000007,2.747375474648213
P033,Feline,,GLU,mmol/L,5.2725,5.88,0.6074999999999999,11.522048364153626
P034,Feline,,GLU,mmol/L,5.3835,5.91,0.5265000000000004,9.779882975759271
P035,Feline,2.0,GLU,mmol/L,4.995,4.79,-0.205,-4.104104104104105
