PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,PHOS,mmol/L,2.4871,2.48,-0.0070999999999998,-0.2854730408909929
P002,Feline,2.0,PHOS,mmol/L,2.8747,2.7,-0.1746999999999996,-6.077155877134993
P003,Feline,2.0,PHOS,mmol/L,2.584,2.67,0.0859999999999998,3.328173374612997
P004,Feline,4.0,PHOS,mmol/L,1.5181,1.45,-0.0681,-4.485870496014758
P005,Feline,5.0,PHOS,mmol/L,1.1628,0.99,-0.1728,-14.860681114551088
P006,Feline,,PHOS,mmol/L,1.9703,1.91,-0.0603,-3.0604476475663613
P007,Feline,,PHOS,mmol/L,2.0349,2.0,-0.0348999999999999,-1.7150719937097614
P008,Feline,3.0,PHOS,mmol/L,1.4212,1.23,-0.1912,-13.453419645370111
P009,Feline,0.5,PHOS,mmol/L,2.6809,2.43,-0.2508999999999997,-9.358797418777264
P010,Feline,,PHOS,mmol/L,1.5504,1.39,-0.1604000000000001,-10.345717234262132
P011,Feline,8.0,PHOS,mmol/L,1.5504,1.48,-0.0704,-4.54076367389061
P012,Feline,2.0,PHOS,mmol/L,1.7765,1.6,-0.1764999999999998,-9.93526597241767
P013,Feline,,PHOS,mmol/L,2.1641,2.43,0.2659000000000002,12.28686289912667
P014,Feline,0.9,PHOS,mmol/L,2.1641,2.18,0.0159000000000002,0.7347165103276303
P015,Feline,,PHOS,mmol/L,1.9703,2.11,0.1396999999999999,7.090290818657054
P016,Feline,,PHOS,mmol/L,1.5181,1.39,-0.1281000000000001,-8.438179303076222
P017,Feline,,PHOS,mmol/L,2.1318,2.18,0.0482,2.261000093817432
P018,Feline,0.7,PHOS,mmol/L,2.9393,3.09,0.1507,5.12707107134352
P019,Feline,6.0,PHOS,mmol/L,1.9057,1.7,-0.2057,-10.793933987511153
P020,Feline,2.0,PHOS,mmol/L,1.8411,1.74,-0.1010999999999999,-5.491282385530387
P021,Feline,3.0,PHOS,mmol/L,1.5504,1.39,-0.1604000000000001,-10.345717234262132
P022,Feline,3.0,PHOS,mmol/L,1.3566,1.36,0.0034,0.2506265664160452
P023,Feline,7.0,PHOS,mmol/L,1.7442,1.72,-0.0242,-1.3874555670221305
P024,Feline,0.6,PHOS,mmol/L,2.7132,2.73,0.0167999999999999,0.6191950464396258
P025,Feline,,PHOS,mmol/L,1.9703,2.02,0.0497,2.5224585088565235
P026,Feline,2.0,PHOS,mmol/L,1.5504,1.61,0.0596000000000001,3.844169246646033
P027,Feline,6.0,PHOS,mmol/L,1.4858,1.54,0.0542,3.6478664692421607
P028,Feline,7.0,PHOS,mmol/L,1.6796,1.84,0.1604000000000001,9.549892831626584
P029,Feline,7.0,PHOS,mmol/L,1.8088,1.93,0.1211999999999999,6.700574966828836
P030,Feline,7.0,PHOS,mmol/L,3.5207,2.94,-0.5807000000000002,-16.493879058141854
P031,Feline,7.0,PHOS,mmol/L,1.3889,1.35,-0.0388999999999999,-2.800777593779245
P032,Feline,6.0,PHOS,mmol/L,1.3889,1.47,0.0810999999999999,5.839153286773702
P033,Feline,,PHOS,mmol/L,1.4535,1.73,0.2764999999999999,19.02304781561747
P034,Feline,,PHOS,mmol/L,1.5827,1.73,0.1473,9.30688064699564
P035,Feline,2.0,PHOS,mmol/L,1.4858,1.54,0.0542,3.6478664692421607
