PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P004,Feline,4.0,TBIL,µmol/L,3.42,4.9,1.4800000000000004,43.274853801169606
P009,Feline,0.5,TBIL,µmol/L,3.42,4.6,1.1799999999999995,34.50292397660818
P011,Feline,8.0,TBIL,µmol/L,3.42,4.9,1.4800000000000004,43.274853801169606
P013,Feline,,TBIL,µmol/L,3.42,3.4,-0.02,-0.5847953216374274
P014,Feline,0.9,TBIL,µmol/L,3.42,4.1,0.6799999999999997,19.883040935672508
P015,Feline,,TBIL,µmol/L,63.27,48.4,-14.870000000000005,-23.5024498182393
P016,Feline,,TBIL,µmol/L,3.42,4.2,0.7800000000000002,22.80701754385965
P017,Feline,,TBIL,µmol/L,83.79,79.1,-4.690000000000012,-5.597326649958243
P018,Feline,0.7,TBIL,µmol/L,3.42,4.0,0.5800000000000001,16.959064327485383
P019,Feline,6.0,TBIL,µmol/L,3.42,4.1,0.6799999999999997,19.883040935672508
P021,Feline,3.0,TBIL,µmol/L,3.42,4.4,0.9800000000000004,28.654970760233933
P023,Feline,7.0,TBIL,µmol/L,8.55,4.7,-3.850000000000001,-45.02923976608187
P025,Feline,,TBIL,µmol/L,6.84,4.2,-2.64,-38.59649122807017
P028,Feline,7.0,TBIL,µmol/L,5.13,4.3,-0.8300000000000001,-16.179337231968812
P029,Feline,7.0,TBIL,µmol/L,3.42,4.8,1.38,40.35087719298245
P030,Feline,7.0,TBIL,µmol/L,5.13,3.9,-1.23,-23.976608187134502
P034,Feline,,TBIL,µmol/L,3.42,3.2,-0.2199999999999997,-6.432748538011689
P035,Feline,2.0,TBIL,µmol/L,3.42,4.1,0.6799999999999997,19.883040935672508
P036,Feline,,TBIL,µmol/L,3.42,4.9,1.4800000000000004,43.274853801169606
P037,Feline,,TBIL,µmol/L,3.42,6.4,2.9800000000000004,87.13450292397663
P038,Feline,,TBIL,µmol/L,3.42,3.8,0.3799999999999999,11.111111111111107
P040,Feline,7.0,TBIL,µmol/L,3.42,3.7,0.2800000000000002,8.187134502923984
P041,Feline,3.0,TBIL,µmol/L,3.42,3.4,-0.02,-0.5847953216374274
P042,Feline,2.0,TBIL,µmol/L,5.13,3.4,-1.73,-33.72319688109162
P043,Feline,,TBIL,µmol/L,6.84,4.6,-2.24,-32.74853801169591
P044,Feline,5.0,TBIL,µmol/L,5.13,3.7,-1.4299999999999995,-27.875243664717345
P045,Feline,2.0,TBIL,µmol/L,3.42,3.2,-0.2199999999999997,-6.432748538011689
P046,Feline,,TBIL,µmol/L,5.13,11.7,6.569999999999999,128.0701754385965
P047,Feline,2.0,TBIL,µmol/L,8.55,4.5,-4.050000000000001,-47.36842105263158
P048,Feline,,TBIL,µmol/L,5.13,4.1,-1.0300000000000002,-20.077972709551663
P049,Feline,2.0,TBIL,µmol/L,10.26,3.7,-6.56,-63.93762183235867
P050,Feline,2.0,TBIL,µmol/L,8.55,5.2,-3.3500000000000005,-39.18128654970761
P051,Feline,,TBIL,µmol/L,5.13,3.8,-1.33,-25.92592592592593
P052,Feline,,TBIL,µmol/L,3.42,4.9,1.4800000000000004,43.274853801169606
P054,Feline,,TBIL,µmol/L,17.1,13.8,-3.3000000000000007,-19.29824561403509
P065,Canine,0.8,TBIL,µmol/L,3.42,4.3,0.8799999999999999,25.730994152046783
P066,Canine,12.0,TBIL,µmol/L,3.42,3.7,0.2800000000000002,8.187134502923984
P072,Canine,6.0,TBIL,µmol/L,3.42,4.0,0.5800000000000001,16.959064327485383
P076,Canine,,TBIL,µmol/L,34.2,36.1,1.8999999999999984,5.555555555555551
P077,Canine,,TBIL,µmol/L,254.79,227.2,-27.590000000000003,-10.828525452333295
P078,Canine,5.0,TBIL,µmol/L,3.42,3.5,0.08,2.3391812865497097
P085,Canine,12.0,TBIL,µmol/L,3.42,3.9,0.48,14.035087719298245
P086,Canine,6.0,TBIL,µmol/L,5.13,4.8,-0.33,-6.432748538011697
P088,Canine,10.0,TBIL,µmol/L,5.13,3.3,-1.83,-35.672514619883046
P089,Canine,6.0,TBIL,µmol/L,3.42,4.1,0.6799999999999997,19.883040935672508
P090,Canine,8.0,TBIL,µmol/L,3.42,3.3,-0.1200000000000001,-3.5087719298245648
P092,Canine,15.0,TBIL,µmol/L,5.13,4.3,-0.8300000000000001,-16.179337231968812
P094,Canine,15.0,TBIL,µmol/L,5.13,3.1,-2.03,-39.57115009746588
P096,Canine,,TBIL,µmol/L,3.42,4.0,0.5800000000000001,16.959064327485383
P097,Canine,,TBIL,µmol/L,10.26,4.1,-6.16,-60.03898635477584
P098,Canine,12.0,TBIL,µmol/L,3.42,4.0,0.5800000000000001,16.959064327485383
P099,Canine,,TBIL,µmol/L,5.13,3.6,-1.5299999999999998,-29.82456140350877
P100,Canine,9.0,TBIL,µmol/L,5.13,4.8,-0.33,-6.432748538011697
P101,Canine,5.0,TBIL,µmol/L,3.42,5.7,2.28,66.66666666666667
P103,Canine,,TBIL,µmol/L,10.26,7.0,-3.26,-31.773879142300192
P114,Feline,13.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P115,Canine,9.0,TBIL,µmol/L,3.42,3.42,0.0,0.0
P117,Canine,4.0,TBIL,µmol/L,3.42,5.13,1.71,50.0
P118,Canine,2.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P115,Canine,9.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P120,Canine,12.0,TBIL,µmol/L,5.13,5.13,0.0,0.0
P122,Canine,11.0,TBIL,µmol/L,3.42,3.42,0.0,0.0
P123,Canine,13.0,TBIL,µmol/L,3.42,5.13,1.71,50.0
P124,Feline,4.0,TBIL,µmol/L,5.13,10.26,5.13,100.0
P115,Canine,9.0,TBIL,µmol/L,6.84,3.42,-3.42,-50.0
P123,Canine,13.0,TBIL,µmol/L,6.84,10.26,3.42,50.0
P125,Canine,6.0,TBIL,µmol/L,6.84,5.13,-1.71,-25.0
P123,Canine,13.0,TBIL,µmol/L,3.42,5.13,1.71,50.0
P127,Feline,15.0,TBIL,µmol/L,3.42,5.13,1.71,50.0
P123,Canine,13.0,TBIL,µmol/L,3.42,3.42,0.0,0.0
P125,Canine,6.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P120,Canine,12.0,TBIL,µmol/L,8.55,5.13,-3.420000000000001,-40.00000000000001
P130,Feline,10.0,TBIL,µmol/L,6.84,3.42,-3.42,-50.0
P131,Canine,3.0,TBIL,µmol/L,11.97,5.13,-6.840000000000001,-57.14285714285715
P117,Canine,4.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P118,Canine,2.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P122,Canine,11.0,TBIL,µmol/L,5.13,3.42,-1.71,-33.33333333333333
P118,Canine,2.0,TBIL,µmol/L,3.42,3.42,0.0,0.0
P118,Canine,2.0,TBIL,µmol/L,10.26,3.42,-6.84,-66.66666666666666
P132,Feline,9.0,TBIL,µmol/L,5.13,5.13,0.0,0.0
