PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,TP,g/L,77.0,72.3,-4.700000000000003,-6.103896103896108
P002,Feline,2.0,TP,g/L,66.0,59.8,-6.200000000000003,-9.393939393939398
P003,Feline,2.0,TP,g/L,70.0,67.3,-2.700000000000003,-3.857142857142861
P004,Feline,4.0,TP,g/L,84.0,81.5,-2.5,-2.976190476190476
P005,Feline,5.0,TP,g/L,84.0,84.0,0.0,0.0
P006,Feline,,TP,g/L,77.0,72.2,-4.799999999999997,-6.233766233766231
P007,Feline,,TP,g/L,72.0,64.2,-7.799999999999997,-10.83333333333333
P008,Feline,3.0,TP,g/L,81.0,77.0,-4.0,-4.938271604938271
P009,Feline,0.5,TP,g/L,96.0,90.3,-5.700000000000003,-5.937500000000004
P010,Feline,,TP,g/L,74.0,69.3,-4.700000000000003,-6.351351351351356
P011,Feline,8.0,TP,g/L,77.0,73.6,-3.4000000000000057,-4.415584415584424
P012,Feline,2.0,TP,g/L,79.0,73.5,-5.5,-6.962025316455696
P013,Feline,,TP,g/L,78.0,69.7,-8.299999999999997,-10.64102564102564
P014,Feline,0.9,TP,g/L,78.0,76.0,-2.0,-2.564102564102564
P015,Feline,,TP,g/L,70.0,66.9,-3.0999999999999943,-4.428571428571421
P016,Feline,,TP,g/L,81.0,74.6,-6.400000000000006,-7.901234567901241
P017,Feline,,TP,g/L,77.0,69.3,-7.700000000000003,-10.000000000000004
P018,Feline,0.7,TP,g/L,78.0,70.2,-7.799999999999997,-9.999999999999996
P019,Feline,6.0,TP,g/L,88.0,86.6,-1.4000000000000057,-1.5909090909090973
P020,Feline,2.0,TP,g/L,81.0,80.4,-0.5999999999999943,-0.7407407407407337
P021,Feline,3.0,TP,g/L,91.0,88.3,-2.700000000000003,-2.96703296703297
P022,Feline,3.0,TP,g/L,82.0,80.0,-2.0,-2.4390243902439024
P023,Feline,7.0,TP,g/L,72.0,71.6,-0.4000000000000057,-0.5555555555555635
P024,Feline,0.6,TP,g/L,76.0,72.8,-3.200000000000003,-4.210526315789478
P025,Feline,,TP,g/L,81.0,80.1,-0.9000000000000057,-1.111111111111118
P026,Feline,2.0,TP,g/L,81.0,79.0,-2.0,-2.469135802469136
P027,Feline,6.0,TP,g/L,74.0,72.4,-1.5999999999999943,-2.1621621621621547
P028,Feline,7.0,TP,g/L,77.0,76.1,-0.9000000000000057,-1.168831168831176
P029,Feline,7.0,TP,g/L,78.0,91.5,13.5,17.307692307692307
P030,Feline,7.0,TP,g/L,84.0,88.3,4.299999999999997,5.119047619047615
P031,Feline,7.0,TP,g/L,75.0,73.2,-1.7999999999999972,-2.3999999999999964
P032,Feline,6.0,TP,g/L,77.0,77.2,0.2000000000000028,0.2597402597402634
P033,Feline,,TP,g/L,62.0,65.4,3.4000000000000057,5.483870967741945
P034,Feline,,TP,g/L,74.0,73.7,-0.2999999999999971,-0.4054054054054015
P035,Feline,2.0,TP,g/L,81.0,77.2,-3.799999999999997,-4.691358024691355
P036,Feline,,TP,g/L,82.0,85.3,3.299999999999997,4.024390243902436
P037,Feline,,TP,g/L,71.0,89.8,18.8,26.478873239436616
P038,Feline,,TP,g/L,71.0,71.5,0.5,0.7042253521126761
P039,Feline,,TP,g/L,73.0,72.9,-0.0999999999999943,-0.1369863013698552
P040,Feline,7.0,TP,g/L,83.0,86.9,3.9000000000000057,4.6987951807228985
P041,Feline,3.0,TP,g/L,73.0,70.8,-2.200000000000003,-3.0136986301369904
P042,Feline,2.0,TP,g/L,84.0,83.3,-0.7000000000000028,-0.8333333333333368
P044,Feline,5.0,TP,g/L,90.0,81.7,-8.299999999999997,-9.22222222222222
P045,Feline,2.0,TP,g/L,86.0,92.0,6.0,6.976744186046512
P046,Feline,,TP,g/L,86.0,87.1,1.0999999999999943,1.279069767441854
P047,Feline,2.0,TP,g/L,96.0,99.6,3.5999999999999943,3.749999999999994
P048,Feline,,TP,g/L,80.0,81.6,1.5999999999999943,1.999999999999993
P049,Feline,2.0,TP,g/L,79.0,79.1,0.0999999999999943,0.1265822784810054
P050,Feline,2.0,TP,g/L,92.0,96.8,4.799999999999997,5.217391304347823
P051,Feline,,TP,g/L,90.0,96.0,6.0,6.666666666666667
P052,Feline,,TP,g/L,80.0,80.4,0.4000000000000057,0.5000000000000071
P053,Feline,,TP,g/L,74.0,76.9,2.9000000000000057,3.918918918918927
P055,Feline,,TP,g/L,74.0,72.1,-1.9000000000000057,-2.5675675675675755
P056,Feline,,TP,g/L,66.0,63.3,-2.700000000000003,-4.090909090909095
P057,Feline,,TP,g/L,77.0,69.7,-7.299999999999997,-9.480519480519476
P058,Feline,,TP,g/L,67.0,68.6,1.5999999999999943,2.3880597014925287
P059,Feline,,TP,g/L,75.0,73.6,-1.4000000000000057,-1.866666666666674
P060,Feline,,TP,g/L,72.0,75.9,3.9000000000000057,5.416666666666674
P061,Canine,9.0,TP,g/L,79.0,78.6,-0.4000000000000057,-0.5063291139240579
P062,Canine,2.0,TP,g/L,59.0,56.4,-2.6000000000000014,-4.406779661016952
P063,Canine,10.0,TP,g/L,68.0,66.1,-1.9000000000000057,-2.794117647058832
P064,Canine,6.0,TP,g/L,68.0,71.2,3.200000000000003,4.70588235294118
P065,Canine,0.8,TP,g/L,78.0,76.9,-1.0999999999999943,-1.410256410256403
P066,Canine,12.0,TP,g/L,79.0,72.4,-6.599999999999994,-8.354430379746828
P067,Canine,2.0,TP,g/L,68.0,64.3,-3.700000000000003,-5.44117647058824
P068,Canine,2.0,TP,g/L,67.0,64.0,-3.0,-4.477611940298507
P069,Canine,9.0,TP,g/L,68.0,60.1,-7.899999999999999,-11.617647058823527
P070,Canine,3.0,TP,g/L,64.0,64.0,0.0,0.0
P071,Canine,12.0,TP,g/L,69.0,65.7,-3.299999999999997,-4.78260869565217
P072,Canine,6.0,TP,g/L,81.0,73.1,-7.900000000000006,-9.753086419753092
P073,Canine,10.0,TP,g/L,75.0,81.7,6.700000000000003,8.933333333333337
P074,Canine,11.0,TP,g/L,71.0,70.4,-0.5999999999999943,-0.8450704225352033
P075,Canine,0.7,TP,g/L,74.0,67.5,-6.5,-8.783783783783784
P076,Canine,,TP,g/L,54.0,48.7,-5.299999999999997,-9.81481481481481
P077,Canine,,TP,g/L,63.0,59.6,-3.3999999999999986,-5.3968253968253945
P078,Canine,5.0,TP,g/L,70.0,66.6,-3.4000000000000057,-4.857142857142866
P079,Canine,2.0,TP,g/L,72.0,68.2,-3.799999999999997,-5.277777777777773
P080,Canine,11.0,TP,g/L,71.0,72.6,1.5999999999999943,2.2535211267605555
P081,Canine,6.0,TP,g/L,67.0,64.8,-2.200000000000003,-3.283582089552243
P082,Canine,16.0,TP,g/L,65.0,60.7,-4.299999999999997,-6.6153846153846105
P083,Canine,2.0,TP,g/L,57.0,61.9,4.899999999999999,8.596491228070173
P084,Canine,2.0,TP,g/L,64.0,71.6,7.599999999999994,11.874999999999991
P085,Canine,12.0,TP,g/L,76.0,72.2,-3.799999999999997,-4.9999999999999964
P086,Canine,6.0,TP,g/L,76.0,75.1,-0.9000000000000057,-1.184210526315797
P087,Canine,7.0,TP,g/L,69.0,67.8,-1.2000000000000028,-1.7391304347826129
P088,Canine,10.0,TP,g/L,80.0,87.0,7.0,8.75
P089,Canine,6.0,TP,g/L,66.0,71.3,5.299999999999997,8.030303030303026
P090,Canine,8.0,TP,g/L,68.0,72.1,4.099999999999994,6.029411764705874
P091,Canine,2.0,TP,g/L,53.0,51.6,-1.3999999999999986,-2.6415094339622613
P092,Canine,15.0,TP,g/L,66.0,63.0,-3.0,-4.545454545454546
P093,Canine,4.0,TP,g/L,61.0,61.8,0.7999999999999972,1.3114754098360608
P094,Canine,15.0,TP,g/L,69.0,67.3,-1.7000000000000028,-2.4637681159420333
P095,Canine,,TP,g/L,60.0,61.2,1.2000000000000028,2.000000000000005
P096,Canine,,TP,g/L,68.0,73.3,5.299999999999997,7.79411764705882
P097,Canine,,TP,g/L,62.0,65.2,3.200000000000003,5.16129032258065
P098,Canine,12.0,TP,g/L,78.0,84.2,6.200000000000003,7.948717948717952
P099,Canine,,TP,g/L,75.0,72.3,-2.700000000000003,-3.600000000000004
P100,Canine,9.0,TP,g/L,66.0,68.0,2.0,3.0303030303030303
