PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P001,Feline,0.6,UREA,mmol/L (BUN-eq),5.7,6.4,0.7000000000000002,12.280701754385968
P002,Feline,2.0,UREA,mmol/L (BUN-eq),6.4,7.02,0.6199999999999992,9.687499999999988
P003,Feline,2.0,UREA,mmol/L (BUN-eq),6.8,7.47,0.6699999999999999,9.852941176470589
P004,Feline,4.0,UREA,mmol/L (BUN-eq),7.5,6.98,-0.5199999999999996,-6.933333333333327
P005,Feline,5.0,UREA,mmol/L (BUN-eq),10.0,9.82,-0.1799999999999997,-1.7999999999999972
P006,Feline,,UREA,mmol/L (BUN-eq),8.6,9.28,0.6799999999999997,7.906976744186044
P007,Feline,,UREA,mmol/L (BUN-eq),5.7,5.81,0.1099999999999994,1.9298245614034988
P008,Feline,3.0,UREA,mmol/L (BUN-eq),7.5,8.03,0.5299999999999994,7.066666666666658
P009,Feline,0.5,UREA,mmol/L (BUN-eq),8.6,8.5,-0.0999999999999996,-1.162790697674415
P010,Feline,,UREA,mmol/L (BUN-eq),10.3,10.59,0.2899999999999991,2.815533980582516
P011,Feline,8.0,UREA,mmol/L (BUN-eq),9.3,9.43,0.129999999999999,1.3978494623655806
P012,Feline,2.0,UREA,mmol/L (BUN-eq),9.3,9.63,0.33,3.5483870967741944
P013,Feline,,UREA,mmol/L (BUN-eq),10.0,10.55,0.5500000000000007,5.500000000000007
P014,Feline,0.9,UREA,mmol/L (BUN-eq),10.0,10.44,0.4399999999999995,4.399999999999995
P015,Feline,,UREA,mmol/L (BUN-eq),21.7,22.71,1.0100000000000016,4.654377880184339
P016,Feline,,UREA,mmol/L (BUN-eq),10.0,8.76,-1.2400000000000002,-12.400000000000002
P133,Feline,,UREA,mmol/L (BUN-eq),8.9,8.31,-0.5899999999999999,-6.629213483146065
P018,Feline,0.7,UREA,mmol/L (BUN-eq),9.6,9.46,-0.1399999999999988,-1.4583333333333208
P019,Feline,6.0,UREA,mmol/L (BUN-eq),7.1,6.84,-0.2599999999999998,-3.661971830985913
P020,Feline,2.0,UREA,mmol/L (BUN-eq),8.6,8.37,-0.2300000000000004,-2.674418604651168
P021,Feline,3.0,UREA,mmol/L (BUN-eq),7.5,7.49,-0.0099999999999997,-0.1333333333333305
P022,Feline,3.0,UREA,mmol/L (BUN-eq),6.1,5.87,-0.2299999999999995,-3.770491803278681
P134,Feline,,UREA,mmol/L (BUN-eq),20.0,19.38,-0.620000000000001,-3.100000000000005
P024,Feline,0.6,UREA,mmol/L (BUN-eq),10.3,11.0,0.6999999999999993,6.7961165048543615
P025,Feline,,UREA,mmol/L (BUN-eq),9.3,9.17,-0.1300000000000007,-1.3978494623655997
P026,Feline,2.0,UREA,mmol/L (BUN-eq),22.5,20.07,-2.43,-10.8
P027,Feline,6.0,UREA,mmol/L (BUN-eq),6.8,6.53,-0.2699999999999996,-3.970588235294111
P028,Feline,7.0,UREA,mmol/L (BUN-eq),7.1,6.59,-0.5099999999999998,-7.183098591549293
P029,Feline,7.0,UREA,mmol/L (BUN-eq),11.1,8.21,-2.889999999999999,-26.036036036036027
P030,Feline,7.0,UREA,mmol/L (BUN-eq),46.3,35.7,-10.599999999999994,-22.894168466522668
P031,Feline,7.0,UREA,mmol/L (BUN-eq),9.6,8.67,-0.9299999999999996,-9.687499999999998
P032,Feline,6.0,UREA,mmol/L (BUN-eq),7.5,7.36,-0.1399999999999996,-1.8666666666666625
P033,Feline,,UREA,mmol/L (BUN-eq),7.5,7.09,-0.4100000000000001,-5.466666666666669
