Analyte,N,Deming_slope,Deming_slope_lo,Deming_slope_hi,Deming_intercept,Deming_intercept_lo,Deming_intercept_hi,Pearson_r,R2,Mean_bias_pct,SD_bias_pct,LoA_lo_pct,LoA_hi_pct,Pct_within_TEa,ASVCP_TEa_pct
ALB,113,1.27,1.172,1.369,-5.4,-8.25,-2.54,0.909,0.827,8.62,7.24,-5.6,22.8,85.8,15
ALP,112,1.016,0.922,1.109,-6.52,-13.08,0.05,0.987,0.974,-7.98,14.85,-37.1,21.1,85.7,25
AMY,131,1.038,0.959,1.117,-33.34,-93.69,27.02,0.933,0.871,0.58,13.01,-24.9,26.1,94.7,25
CHOL,151,1.189,1.104,1.273,-0.36,-0.71,-0.01,0.943,0.89,10.97,12.88,-14.3,36.2,80.8,20
CREA,66,0.98,0.913,1.047,-2.82,-11.94,6.3,0.981,0.962,-3.92,15.71,-34.7,26.9,80.3,20
Ca,139,1.476,1.098,1.855,-1.11,-2.04,-0.18,0.617,0.381,2.96,7.61,-12.0,17.9,84.2,10
GLU,158,0.905,0.621,1.189,0.83,-0.78,2.44,0.965,0.931,5.11,9.59,-13.7,23.9,94.3,20
PHOS,128,0.974,0.9,1.048,0.01,-0.11,0.12,0.954,0.911,-1.89,9.92,-21.3,17.6,90.6,15
TBIL,80,0.892,0.876,0.908,0.01,-0.5,0.53,0.996,0.992,-1.07,38.19,-75.9,73.8,82.5,25
TP,153,1.135,1.006,1.263,-9.95,-18.91,-0.99,0.836,0.698,-0.12,7.61,-15.0,14.8,88.2,10
UREA,143,0.878,0.795,0.96,0.67,0.02,1.32,0.975,0.951,-3.65,14.74,-32.5,25.2,80.4,15
