Analyte,Level,N,Target,Observed_Mean,Observed_SD,CV_pct,ASVCP_TEa_pct,Allowable_CV_pct,PassFail
ALB,L1,18,30.4,29.28,0.93,3.18,15,9.09,Pass
ALB,L2,18,42.4,41.34,1.09,2.65,15,9.09,Pass
ALP,L1,18,362,422.88,25.08,5.93,20,12.12,Pass
ALP,L2,18,197,207.73,21.22,10.21,20,12.12,Pass
AMY,L1,18,273,282.41,16.03,5.68,25,15.15,Pass
AMY,L2,18,87,84.57,4.75,5.61,25,15.15,Pass
Ca,L1,18,3.82,3.83,0.12,3.03,10,6.06,Pass
Ca,L2,18,2.13,2.38,0.08,3.31,10,6.06,Pass
CHOL,L1,18,7.4,7.68,0.29,3.72,20,12.12,Pass
CHOL,L2,18,4.02,3.74,0.28,7.56,20,12.12,Pass
CREA,L1,18,372,415.49,16.04,3.86,20,12.12,Pass
CREA,L2,18,132,139.78,7.51,5.37,20,12.12,Pass
GLU,L1,18,15.9,15.93,0.5,3.11,20,12.12,Pass
GLU,L2,18,6.07,6.45,0.2,3.17,20,12.12,Pass
PHOS,L1,18,2.23,2.28,0.1,4.59,15,9.09,Pass
PHOS,L2,18,1.44,1.53,0.09,5.74,15,9.09,Pass
TBIL,L1,18,89.3,87.56,4.39,5.01,25,15.15,Pass
TBIL,L2,18,31.5,31.82,3.76,11.83,25,15.15,Pass
TP,L1,18,50,54.3,2.06,3.79,10,6.06,Pass
TP,L2,18,60,64.38,1.71,2.66,10,6.06,Pass
UREA,L1,18,19.3,17.65,0.72,4.05,12,7.27,Pass
UREA,L2,18,7.73,7.22,0.34,4.7,12,7.27,Pass
