PatientID,Species,Age_years
P006,Feline,
P007,Feline,
P065,Canine,0.8
P063,Canine,10.0
P073,Canine,10.0
P014,Feline,0.9
P080,Canine,11.0
P135,Canine,11.0
P074,Canine,11.0
P066,Canine,12.0
P071,Canine,12.0
P082,Canine,16.0
P002,Feline,2.0
P003,Feline,2.0
P012,Feline,2.0
P020,Feline,2.0
P079,Canine,2.0
P062,Canine,2.0
P067,Canine,2.0
P068,Canine,2.0
P008,Feline,3.0
P021,Feline,3.0
P022,Feline,3.0
P070,Canine,3.0
P004,Feline,4.0
P005,Feline,5.0
P078,Canine,5.0
P009,Feline,0.5
P072,Canine,6.0
P019,Feline,6.0
P064,Canine,6.0
P081,Canine,6.0
P001,Feline,0.6
P024,Feline,0.6
P023,Feline,7.0
P018,Feline,0.7
P075,Canine,0.7
P011,Feline,8.0
P061,Canine,9.0
P069,Canine,9.0
P010,Feline,
P013,Feline,
P015,Feline,
P016,Feline,
P017,Feline,
P076,Canine,
P077,Canine,
P134,Feline,
P133,Feline,
P129,Canine,10.0
P130,Feline,10.0
P122,Canine,11.0
P120,Canine,12.0
P123,Canine,13.0
P114,Feline,13.0
P128,Canine,15.0
P127,Feline,15.0
P119,Canine,16.0
P121,Canine,1.0
P118,Canine,2.0
P131,Canine,3.0
P117,Canine,4.0
P124,Feline,4.0
P136,Feline,5.0
P125,Canine,6.0
P116,Canine,7.0
P126,Canine,8.0
P115,Canine,9.0
P132,Feline,9.0
P055,Feline,
P056,Feline,
P057,Feline,
P058,Feline,
P059,Feline,
P060,Feline,
P113,Canine,
P104,Canine,
P105,Canine,
P106,Canine,
P107,Canine,
P108,Canine,
P109,Canine,
P110,Canine,
P111,Canine,
P112,Canine,
P034,Feline,
P043,Feline,
P048,Feline,
P095,Canine,
P096,Canine,
P088,Canine,10.0
P098,Canine,12.0
P085,Canine,12.0
P092,Canine,15.0
P094,Canine,15.0
P102,Canine,15.0
P035,Feline,2.0
P042,Feline,2.0
P045,Feline,2.0
P047,Feline,2.0
P049,Feline,2.0
P050,Feline,2.0
P026,Feline,2.0
P091,Canine,2.0
P083,Canine,2.0
P084,Canine,2.0
P041,Feline,3.0
P093,Canine,4.0
P044,Feline,5.0
P101,Canine,5.0
P027,Feline,6.0
P032,Feline,6.0
P086,Canine,6.0
P089,Canine,6.0
P040,Feline,7.0
P028,Feline,7.0
P029,Feline,7.0
P030,Feline,7.0
P031,Feline,7.0
P087,Canine,7.0
P090,Canine,8.0
P100,Canine,9.0
P033,Feline,
P036,Feline,
P037,Feline,
P038,Feline,
P039,Feline,
P025,Feline,
P046,Feline,
P051,Feline,
P052,Feline,
P053,Feline,
P054,Feline,
P097,Canine,
P099,Canine,
P103,Canine,
